GENOTYPE,PLOT,Index
CT27035-102-R-R-R-MPL,490,7
IRGA 5856-2-1-3-1-PL-3,491,6
CT27020-41-R-R-R-MPL,492,7
CT27038-147-R-R-R-MPL,493,5
CT27050-41-R-R-R-MPL,494,6
CT26987-192-R-R-R-MPL,495,6
CT26997-42-R-R-R-MPL,496,2
CT27050-36-R-R-R-MPL,497,2
CT27031-74-R-R-R-MPL,498,6
CT27020-69-R-R-R-MPL,499,7
CT27047-122-R-R-R-MPL,500,7
CT27048-42-R-R-R-MPL,501,7
FEDEARROZ 2000,502,5
CT26989-55-R-R-R-MPL,503,6
CT27035-91-R-R-R-MPL,504,6
CT27017-64-R-R-R-MPL,505,7
CT26987-101-R-R-R-MPL,506,7
CT26997-87-R-R-R-MPL,507,7
CT27009-56-R-R-R-MPL,508,7
CT26989-109-R-R-R-MPL,509,7
CT26998-112-R-R-R-MPL,510,5
CT27035-165-R-R-R-MPL,511,6
CT26989-114-R-R-R-MPL,512,4
CT27047-62-R-R-R-MPL,513,7
CT27017-59-R-R-R-MPL,514,3
CT27020-97-R-R-R-MPL,515,5
CT26995-35-R-R-R-MPL,516,7
CT27035-82-R-R-R-MPL,517,7
CT26987-123-R-R-R-MPL,518,7
CT27050-54-R-R-R-MPL,519,4
CT26998-42-R-R-R-MPL,520,7
CT27015-59-R-R-R-MPL,521,7
CT26995-56-R-R-R-MPL,522,7
CT27015-112-R-R-R-MPL,523,6
CT27038-158-R-R-R-MPL,524,1
CT26995-120-R-R-R-MPL,525,7
CT27057-45-R-R-R-MPL,526,6
CT27038-160-R-R-R-MPL,527,2
CT27035-96-R-R-R-MPL,528,7
Olimar,529,6
CT27047-156-R-R-R-MPL,530,7
CT27020-98-R-R-R-MPL,531,5
CT27050-35-R-R-R-MPL,532,6
CT27048-69-R-R-R-MPL,533,7
CT27035-35-R-R-R-MPL,534,6
CT26997-54-R-R-R-MPL,535,7
CT27047-50-R-R-R-MPL,536,7
CT26991-55-R-R-R-MPL,537,7
CT26989-35-R-R-R-MPL,538,6
CT26995-34-R-R-R-MPL,539,7
CT27015-40-R-R-R-MPL,540,7
CT26995-113-R-R-R-MPL,541,7
CT27047-40-R-R-R-MPL,542,7
CT26987-129-R-R-R-MPL,543,7
CT27016-42-R-R-R-MPL,544,7
CT27031-103-R-R-R-MPL,545,6
CT27009-98-R-R-R-MPL,546,6
ORYZICA 1,547,6
CT27015-72-R-R-R-MPL,548,7
CT26989-138-R-R-R-MPL,549,5
CT27047-166-R-R-R-MPL,550,6
CT26991-68-R-R-R-MPL,551,5
CT27031-76-R-R-R-MPL,552,6
CT27050-111-R-R-R-MPL,553,3
CT26997-146-R-R-R-MPL,554,4
CT27017-74-R-R-R-MPL,555,7
CT27047-162-R-R-R-MPL,556,6
CT27015-73-R-R-R-MPL,557,7
CT26989-64-R-R-R-MPL,558,6
CT27047-81-R-R-R-MPL,559,7
CT26989-113-R-R-R-MPL,560,6
CT27038-145-R-R-R-MPL,561,6
CT27035-72-R-R-R-MPL,562,6
CT27015-122-R-R-R-MPL,563,7
CT27038-152-R-R-R-MPL,564,6
CT26991-70-R-R-R-MPL,565,4
CT26987-159-R-R-R-MPL,566,7
FEDEARROZ 2000,567,7
CT27038-108-R-R-R-MPL,568,6
CT26989-132-R-R-R-MPL,569,6
CT26997-38-R-R-R-MPL,570,6
CT27050-84-R-R-R-MPL,571,6
CT26989-48-R-R-R-MPL,572,6
CT27031-120-R-R-R-MPL,573,6
CT26997-61-R-R-R-MPL,574,2
CT27047-128-R-R-R-MPL,575,6
CT27038-63-R-R-R-MPL,576,7
CT26987-176-R-R-R-MPL,577,7
CT27047-46-R-R-R-MPL,578,6
CT27009-93-R-R-R-MPL,579,6
CT27047-36-R-R-R-MPL,580,7
CT26987-173-R-R-R-MPL,581,6
Olimar,582,6
CT27020-44-R-R-R-MPL,583,6
CT26987-79-R-R-R-MPL,584,6
CT27031-57-R-R-R-MPL,585,7
CT27035-134-R-R-R-MPL,586,6
CT27031-55-R-R-R-MPL,587,7
CT26989-47-R-R-R-MPL,588,3
CT27015-75-R-R-R-MPL,589,5
CT27035-135-R-R-R-MPL,590,5
Olimar,591,6
CT27047-132-R-R-R-MPL,592,6
CT27031-58-R-R-R-MPL,593,7
CT26997-127-R-R-R-MPL,594,1
